title,date_published,author,comments_count
Nexus 6 всё-таки обновится до Android 7.1.1,2016-12-29T10:00:00+00:00,Wadym72,55
Геймеры отыскали сиквел Frog Fractions в абсолютно другой игре,2016-12-29T09:00:00+00:00,Oleg Prince,10
iPhone признан самым желанным смартфоном на Новый год,2016-12-29T07:00:00+00:00,Wadym72,206
Обзор ASUS Zenfone 3 Laser: на радость фотолюбителям,2016-12-29T07:00:00+00:00,News,67
"Учёные создали батарею, работающую на метаболизме бактерий",2016-12-29T06:00:00+00:00,Wadym72,30
TSMC опровергает слухи о проблемах с производством 10-нм процессоров,2016-12-29T05:00:00+00:00,Wadym72,35
"Инсайды #818: Qualcomm Snapdragon 835, LG G6, Xiaomi Mi6 и новые разработки AMD",2016-12-28T20:03:47+00:00,Ekzer,168
Обзор Ginzzu S5040: минимализм в действии,2016-12-28T19:15:00+00:00,News,53
Владельцы Google Pixel жалуются на внезапные отключения смартфона,2016-12-28T19:00:00+00:00,Natalia Rafalskaya,168
Lenovo обновляет линейку ноутбуков ThinkPad,2016-12-28T18:00:00+00:00,Scar1989,113
YI 4K+ станет одной из первых экшен-камер с поддержкой 4K и 60 fps,2016-12-28T17:00:00+00:00,Wadym72,43
Samsung представит на CES 2017 акустику будущего,2016-12-28T16:00:00+00:00,Wadym72,90
Когда переходить со смартфона на Hi-Fi плеер?,2016-12-28T15:50:00+00:00,jnikj,0
Создатели Hero’s Song закрывают студию из-за низких продаж,2016-12-28T15:00:00+00:00,Oleg Prince,39
ASUS Zenfone 3 Deluxe Special Edition готовится к выходу на российский рынок,2016-12-28T14:50:00+00:00,Котейко,142
Беспроводные гарнитуры LG Tone Studio и Tone Free будут представлены на CES 2017,2016-12-28T14:00:00+00:00,Scar1989,32
Xiaomi Redmi Note 4X с процессором Snapdragon 653 прошёл сертификацию в Китае,2016-12-28T13:42:00+00:00,Wadym72,252
"Поклонники &quot;Звёздных войн&quot; собрались в игре, чтобы почтить память Кэрри Фишер",2016-12-28T13:40:00+00:00,Oleg Prince,78
Разработчики приступили к созданию первой сборки Lineage OS,2016-12-28T13:06:01+00:00,Wadym72,75
Яндекс выпускает фирменные карты для устройств на Windows 10,2016-12-28T12:40:00+00:00,Natalia Rafalskaya,74
Naviaddress. Миссия не заблудиться — выполнима,2016-12-28T12:30:00+00:00,FB-king,16
Что купить для Samsung Galaxy S4,2016-12-28T12:24:00+00:00,Ekzer,108
Apple iPhone 7 и iPhone 7 Plus в новом цвете показали на видео,2016-12-28T12:10:00+00:00,Natalia Rafalskaya,40
HideMe.ru VPN: Интернет без границ,2016-12-28T12:00:00+00:00,FB-king,44
Аккумулятор Nintendo Switch нельзя будет заменить,2016-12-28T11:01:27+00:00,Oleg Prince,81
"Инсайды #817: Elephone C1 Max, новинки Nokia, Samsung Galaxy S8 и Sony Xperia XZ (2017)",2016-12-28T10:49:46+00:00,Ekzer,79
"Обзор ASUS Zenfone 3 Deluxe: для тех, кто ценит мощь",2016-12-28T10:00:00+00:00,News,146
Игроки не хотят платить за Super Mario Run,2016-12-28T09:00:00+00:00,Oleg Prince,114
Выбираем новогодние подарки для меломанов,2016-12-28T08:01:00+00:00,Wadym72,89
Видеоконвертер HandBrake вышел из бета-тестирования спустя 13 лет,2016-12-28T08:00:00+00:00,Котейко,29
"Как собрать игровой ПК, не ударив пальцем о палец? ",2016-12-28T07:05:00+00:00,News,232
Бывший сотрудник Apple рассказал о работе над первым iPhone,2016-12-28T07:00:00+00:00,Sleepp,72
"Relonch объединяет фотокамеру, облачное хранилище и сервис по автоматической обработке снимков",2016-12-28T06:00:00+00:00,Wadym72,29
Учёные научились создавать провода толщиной в 3 атома,2016-12-28T05:00:00+00:00,Ekzer,71
"Инсайды #816: Samsung Galaxy C5 Pro, Xiaomi Mi6, Moto Droid Turbo 3, ASUS Chromebook Flip",2016-12-27T20:12:36+00:00,Ekzer,69
Elephone S7: тестирование автономности,2016-12-27T19:00:00+00:00,News,87
"Samsung инвестирует в исследования больше, чем конкуренты",2016-12-27T18:00:00+00:00,Wadym72,188
Работу прототипа ODG R9 показали на видео,2016-12-27T17:10:00+00:00,Scar1989,18
«Оружие Героев»: легендарное оружие в деталях,2016-12-27T17:00:00+00:00,FB-king,179
Обзор новинок и обновлений игр для Android (12 - 25 декабря 2016),2016-12-27T16:43:09+00:00,artem1701,1
Смартфоны Wileyfox обновятся до Android N,2016-12-27T16:08:27+00:00,Wadym72,76
Симулятор выживания Don&#039;t Starve: Shipwrecked теперь доступен на iOS,2016-12-27T15:00:00+00:00,Oleg Prince,26
Скидки на приложения и игры для iOS: 27 декабря,2016-12-27T14:31:30+00:00,Strelka92,10
Планшеты-трансформеры и другие гаджеты на новогодней распродаже,2016-12-27T14:00:00+00:00,Wadym72,48
"Инсайды #815: iPhone 7S, LG G6, Samsung Galaxy S8 и Xiaomi Mi6",2016-12-27T13:00:00+00:00,Ekzer,103
Скидки на приложения и игры для Android: 27 декабря,2016-12-27T12:40:00+00:00,Strelka92,11
Space Kings: масштабная космическая онлайн-стратегия,2016-12-27T12:30:00+00:00,FB-king,32
ASUS Zenfone 3: есть куда разогнаться,2016-12-27T12:00:00+00:00,News,68
Авторы игры про мальчика-сову Owlboy не против пиратства,2016-12-27T11:46:50+00:00,Oleg Prince,80
Zopo Flash G5 Plus оснастили безрамочным дисплеем и стеклянным корпусом,2016-12-27T11:40:20+00:00,Scar1989,45
Продукция ASUS получила 9 наград Good Design Awards 2016,2016-12-27T10:58:00+00:00,Wadym72,31
Серия хардкорных раннеров Geometry Dash пополнилась ещё одной игрой,2016-12-27T10:45:56+00:00,Oleg Prince,17
Обзор MSI GT83VR 6RE Titan SLI: горячий ноут для ярых геймеров,2016-12-27T10:00:00+00:00,News,64
Владельцы Apple AirPods жалуются на быструю разрядку наушников и док-станции,2016-12-27T09:00:00+00:00,Sleepp,199
Обзор LeEco Le Pro3: профессиональный игрок,2016-12-27T08:00:00+00:00,News,141
Продукция Xiaomi на распродаже в рамках &quot;Бренд-фокуса&quot;,2016-12-27T07:30:00+00:00,Wadym72,100
Российские геймеры за 2016 год потратили в Steam больше 3 миллиардов рублей,2016-12-27T07:00:00+00:00,Oleg Prince,138
Очки Safilo смогут считывать мозговые импульсы владельца,2016-12-27T06:00:00+00:00,Scar1989,39
Samsung Creative Lab разрабатывает устройства по уходу за кожей и смарт-кнопку для игрушек,2016-12-27T05:00:00+00:00,Wadym72,18
"Инсайды #814: Xiaomi Mi Mix, Meizu M5S, LG G6, Samsung Galaxy S8",2016-12-26T19:30:00+00:00,Ekzer,197
ASUS Zenfone 3: истребитель Bluetooth-колонок ,2016-12-26T19:10:00+00:00,News,96
Авторы Batman: Arkham могут работать над игрой про Супермена,2016-12-26T19:00:00+00:00,Oleg Prince,30
Gionee M2017 оснастили изогнутым экраном и аккумулятором на 7000 мАч,2016-12-26T18:14:00+00:00,Wadym72,121
Скидки до $50 на смартфоны Bluboo в честь Нового года,2016-12-26T18:05:00+00:00,Ekzer,14
Samsung остаётся крупнейшим поставщиком смартфонов в России ,2016-12-26T18:00:00+00:00,Wadym72,140
Опрос: чего вы ждёте от выставки CES 2017?,2016-12-26T17:45:11+00:00,am.axe,81
Ulefone Armor стал доступен с новогодней скидкой в размере $40,2016-12-26T17:05:00+00:00,Wadym72,23
Sony Xperia XZ попал в руки специалистов DxOMark,2016-12-26T17:00:00+00:00,Wadym72,98
Что купить для Google Nexus 5,2016-12-26T16:52:00+00:00,Ekzer,105
"В Mozilla рассказали, какие компьютеры наиболее популярны у пользователей Firefox",2016-12-26T16:00:00+00:00,Scar1989,143
"Oukitel объявляет список устройств, которые первыми получат Android 7.0",2016-12-26T15:40:00+00:00,Ekzer,42
Музыка в высоком качестве: топ-5 потоковых сервисов ,2016-12-26T14:40:00+00:00,News,0
Скидки на игры для Android: 26 декабря,2016-12-26T13:48:45+00:00,Strelka92,18
Лучшие смартфоны уходящего года на праздничной распродаже,2016-12-26T13:44:00+00:00,Wadym72,106
Обзор новинок и обновлений программ для Android (19 декабря - 25 декабря 2016),2016-12-26T13:02:29+00:00,vadeus,0
Продолжение культовой Double Dragon выйдет в январе,2016-12-26T12:06:00+00:00,Oleg Prince,44
Bluetooth-динамик LG PJ9 способен парить в воздухе,2016-12-26T11:39:00+00:00,Scar1989,64
Камеру Huawei Mate 9 протестировали специалисты DxOMark,2016-12-26T11:05:00+00:00,Wadym72,67
Nokia D1C будет работать на Android 7.0 Nougat,2016-12-26T10:46:25+00:00,Scar1989,111
Xiaomi Mi6 могут представить в День всех влюблённых ,2016-12-26T10:20:49+00:00,Wadym72,61
Пользователи Google Home жалуются на внезапные прерывания музыки,2016-12-26T10:00:00+00:00,Ekzer,19
Безрамочный Xiaomi Mi Mix во время &quot;Бренд-фокуса&quot; будет доступен со скидкой,2016-12-26T09:00:00+00:00,Wadym72,153
Сервис потокового вещания BitTorrent Live появился в App Store,2016-12-26T08:00:00+00:00,Wadym72,20
Десятиядерный Vernee Apollo Lite на новогодней распродаже предлагается менее чем за $180,2016-12-26T07:05:00+00:00,Wadym72,56
"Бывшие сотрудники Google рассказали, почему &quot;хромбуки&quot; не работают на Snapdragon",2016-12-26T07:00:00+00:00,Котейко,70
Обзор BQ Aquaris U Plus: для чикас и мучачос,2016-12-26T06:00:00+00:00,News,112
В магазинах Apple появятся столы с беспроводной зарядкой,2016-12-26T05:00:00+00:00,Ekzer,62
Тест камеры Elephone S7: скажите «cheese»,2016-12-25T17:30:00+00:00,News,90
Cortana позволит управлять функциями Windows 10 с первого включения,2016-12-25T16:45:00+00:00,Ekzer,60
Huawei Mate 9 представлен в новом цвете,2016-12-25T16:30:00+00:00,Wadym72,58
Moto X Pure Edition обновится сразу до Android 7.1.1,2016-12-25T16:15:00+00:00,Wadym72,38
CyanogenMod продолжит существование в качестве Lineage OS,2016-12-25T16:00:00+00:00,Wadym72,160
Обзор игры Super Mario Run: чем хорош и чем плох самобеглый водопроводчик?,2016-12-25T10:59:00+00:00,News,112
Firefox может прекратить поддержку Windows XP и Vista в сентябре 2017 года,2016-12-25T10:15:00+00:00,Ekzer,126
Microsoft признаёт агрессивность маркетинговой политики Windows 10,2016-12-25T10:00:00+00:00,Котейко,152
Инди-хоррор Five Nights at Freddy’s: Sister Location добрался до Android,2016-12-25T09:45:00+00:00,Ekzer,17
Xiaomi Mi5 и ещё десять устройств могут перейти на ночные сборки CM 14.1,2016-12-25T09:30:00+00:00,Ekzer,80
Последнее обновление для OnePlus 2 вызвало проблемы с мобильной сетью,2016-12-25T09:15:00+00:00,Wadym72,21
Фирменная оболочка Google Pixel Launcher — на любом смартфоне,2016-12-25T09:00:00+00:00,News,124
Samsung Galaxy S8 Plus могут оснастить 6-дюймовым экраном,2016-12-24T17:00:00+00:00,Wadym72,202
TSMC испытывает трудности с выпуском процессоров для новых iPad,2016-12-24T16:45:00+00:00,Ekzer,51
Nintendo выпустит несколько мобильных игр в следующем году,2016-12-24T16:30:00+00:00,Ekzer,33
Один из новых смартфонов Nokia замечен на фото,2016-12-24T16:15:00+00:00,Wadym72,175
Пользователи Pixel и Pixel XL столкнулись с зависаниями смартфонов,2016-12-24T16:00:00+00:00,Wadym72,158
Star Citizen перевели на новый движок,2016-12-24T15:45:00+00:00,Котейко,72
Apple собирается оспорить результаты тестов автономности MacBook Pro (2016),2016-12-24T15:30:00+00:00,Котейко,48
Microsoft Surface Phone войдёт в новую категорию устройств,2016-12-24T15:15:00+00:00,Wadym72,171
Cyanogen закроет свои сервисы и ночные сборки в новогоднюю ночь,2016-12-24T15:00:00+00:00,Wadym72,255
"ТОТЕМОСЫ — учимся мыслить, как шахматисты",2016-12-24T13:00:00+00:00,FB-king,9
"Главные игры недели: птицы-убийцы времени, легендарный тайкун и мобильный аналог Counter-Strike",2016-12-24T12:10:00+00:00,News,35
Blackview P2 с ёмким аккумулятором доступен для предзаказа по специальной цене,2016-12-24T12:03:50+00:00,Wadym72,29
Что купить для Samsung Galaxy S3,2016-12-24T12:00:00+00:00,Ekzer,143
"Сделано в Китае #49: успехи Xiaomi, неожиданная инвестиция Microsoft и другие новости",2016-12-24T11:30:00+00:00,Wadym72,105
The Walking Dead: A New Frontier рассказывает историю новых героев,2016-12-24T10:45:00+00:00,Ekzer,20
Многопроцессный режим в Firefox станет доступен большему числу пользователей,2016-12-24T10:30:00+00:00,Wadym72,102
Samsung отправляет владельцев Gear VR на прогулку с Санта-Клаусом,2016-12-24T10:15:00+00:00,Wadym72,6
Игра по мотивам фильма &quot;Пассажиры&quot; вышла на iOS и Android,2016-12-24T10:00:00+00:00,Oleg Prince,42
Платформа PIXEL от Raspberry Pi создана для работы на старых компьютерах,2016-12-24T09:45:00+00:00,Scar1989,64
Первые серийные устройства со складными дисплеями появятся только в 2018 году,2016-12-24T09:30:00+00:00,Scar1989,44
Футуристичный дрон XDynamics Evolve анонсируют на CES 2017,2016-12-24T09:15:00+00:00,Ekzer,7
Google представляет новый экспериментальный проект,2016-12-24T09:00:00+00:00,Scar1989,29
Обзор ZTE Blade Z10: разноцветный баланс технологий ,2016-12-24T08:30:00+00:00,News,74
Leagoo Venture 1 с необычным дизайном и модулем 4G теперь доступен за 9 тысяч рублей,2016-12-24T08:00:00+00:00,Wadym72,46
"Инсайды #813: белый Xiaomi Mi Mix, Imoo C1, BlackBerry DTEK70 и HTC X10",2016-12-23T19:30:00+00:00,Ekzer,103
Honor 8 обновится до Android Nougat в феврале следующего года,2016-12-23T19:00:00+00:00,Wadym72,120
Apple запускает обновлённое веб-приложение iCloud Photos,2016-12-23T18:00:00+00:00,Wadym72,25
Браузер Samsung Internet получил расширенную поддержку виртуальной реальности,2016-12-23T17:00:00+00:00,Scar1989,21
Xiaomi выпускает обновлённые Mi Headphones и бюджетные Mi Headphones 2,2016-12-23T16:01:00+00:00,Natalia Rafalskaya,123
Военный симулятор War Thunder вышел из стадии беты,2016-12-23T15:01:37+00:00,Wadym72,112
В MIUI 9 пользователи смогут удалить стандартные приложения ,2016-12-23T14:56:00+00:00,Sleepp,203
Star Conflict: Evolution приносит новый класс космических кораблей,2016-12-23T14:51:49+00:00,Ekzer,25
iOS 10.2 вызывает проблемы с автономностью iPhone,2016-12-23T14:41:00+00:00,Wadym72,88
"Nintendo спрашивает геймеров, сколько они готовы заплатить за Super Mario Run",2016-12-23T14:33:57+00:00,Oleg Prince,94
Бумбокс Monster SuperStar Blaster Bluetooth обеспечивает 360-градусное звучание,2016-12-23T13:15:49+00:00,Ekzer,39
No.1 G3+ оснастили механизмом с поворотным безелем,2016-12-23T12:59:09+00:00,Wadym72,31
Духовная наследница Command &amp; Conquer вышла на Android и iOS,2016-12-23T12:54:00+00:00,Oleg Prince,57
Смарт-часы на Android Wear 2.0 получат поддержку Android Pay,2016-12-23T12:41:47+00:00,Scar1989,14
Гибридный планшет ASUS Transformer 3 поступил в продажу,2016-12-23T12:11:00+00:00,Wadym72,57
Acer Predator Z1 с поддержкой технологий Tobii и G-SYNC появился в России,2016-12-23T12:00:40+00:00,Scar1989,35
Обзор ONYX BOOX Monte Cristo: графское оснащение,2016-12-23T11:42:00+00:00,News,43
В магазине PlayStation Store стартует новогодняя распродажа,2016-12-23T11:39:00+00:00,Oleg Prince,61
 LG G5 признан самым ремонтопригодным флагманом года ,2016-12-23T11:36:00+00:00,Wadym72,112
Скидки на игры для Android: 23 декабря,2016-12-23T11:25:00+00:00,Strelka92,16
Google выпустит флагманские смарт-часы в начале следующего года,2016-12-23T11:19:49+00:00,Wadym72,40
Скидки на приложения и игры для iOS: 23 декабря,2016-12-23T11:11:05+00:00,Strelka92,3
Ведущий дизайнер The Last of Us: Part 2 связала куклу главной героини,2016-12-23T10:37:00+00:00,Oleg Prince,29
"Объявлен список смарт-часов, которые обновятся до Android Wear 2.0",2016-12-23T10:30:50+00:00,Wadym72,44
Xiaomi Mi Notebook Air представлен в версии с модулем 4G,2016-12-23T10:23:35+00:00,Wadym72,51
В Pokemon GO теперь можно поиграть на Apple Watch,2016-12-23T10:18:59+00:00,Wadym72,26
Накопитель My Passport от WD защитит личные данные от потери и кражи,2016-12-23T10:00:00+00:00,News,19
Обновление OnePlus 2 принесло поддержку VoLTE,2016-12-23T09:50:00+00:00,Natalia Rafalskaya,35
Приложение YouTube для PS4 теперь поддерживает PlayStation VR,2016-12-23T09:00:00+00:00,Wadym72,15
Флагманский Xiaomi Mi5 во время &quot;Бренд-фокуса&quot; будет доступен за 12 тысяч рублей,2016-12-23T08:05:00+00:00,Wadym72,197
Meizu может представить смартфон с двумя дисплеями,2016-12-23T08:00:00+00:00,Scar1989,46
Мобильная RollerCoaster Tycoon Classic поддерживает редактор сценариев и упрощённую систему управления,2016-12-23T07:00:00+00:00,Scar1989,14
"Обзор My Passport Wireless Pro: больше, чем просто хард ",2016-12-23T06:00:00+00:00,News,31
Apple Watch нового поколения станут тоньше предшественников,2016-12-23T05:50:00+00:00,Natalia Rafalskaya,63
Аналитики прогнозируют рост популярности виртуальных ассистентов,2016-12-23T05:00:00+00:00,Wadym72,35
"Инсайды #812: Huawei P10, Samsung Galaxy J7 (2017), Apple A11, MediaTek Helio X30",2016-12-22T19:37:43+00:00,Ekzer,152
"Лучшие игры 2016 года — для ПК, PlayStation 4 и Xbox One ",2016-12-22T19:30:00+00:00,News,107
Elephone S7: игровой тест производительности,2016-12-22T19:15:00+00:00,News,71
Для Fitbit Charge 2 вышло масштабное обновление,2016-12-22T19:00:00+00:00,Wadym72,13
Что купить для Meizu M2 Mini,2016-12-22T18:22:00+00:00,Ekzer,39
Leagoo дарит скидки на смартфоны повышенной прочности ,2016-12-22T17:06:00+00:00,Wadym72,16
Google обещает исправить проблему с двойным тапом на Pixel и Pixel XL,2016-12-22T17:00:00+00:00,Wadym72,85
«Шестерёнки логические пазлы»: увлекательная головоломка для всей семьи,2016-12-22T16:57:00+00:00,FB-king,7
Ulefone раскрывает характеристики Gemini Pro,2016-12-22T16:05:00+00:00,Wadym72,33
Apple даёт разработчикам дополнительное время для перехода на HTTPS,2016-12-22T16:00:00+00:00,Wadym72,38
Наушники Xiaomi Piston Fresh стоят всего $4,2016-12-22T15:22:41+00:00,Wadym72,134
Новогодние подарки для ценителей качественного звука,2016-12-22T15:11:00+00:00,Wadym72,30
Windows 10 Mobile протестировали на старых устройствах,2016-12-22T15:10:00+00:00,Scar1989,101
Авторы ремейка Half-Life показали первое изображение Зена,2016-12-22T15:05:21+00:00,Oleg Prince,71
Xiaomi Redmi Note 4 вышел в двух новых цветах,2016-12-22T14:31:23+00:00,Wadym72,162
WD My Cloud до 8ТБ — персональное облако в два клика,2016-12-22T13:41:00+00:00,News,89
Blackview BV6000 начнёт обновляться до Android Nougat уже на этой неделе,2016-12-22T13:40:14+00:00,Ekzer,19
Скидки на приложения и игры для iOS: 22 декабря,2016-12-22T13:35:57+00:00,Strelka92,4
ASUS Transformer 3 Pro стал самым тонким гибридным устройством на Intel Core i7,2016-12-22T13:30:10+00:00,Scar1989,64
Doogee Shoot пополнил ряды бюджетных смартфонов с двойной камерой,2016-12-22T13:22:52+00:00,Wadym72,21
Скидки на приложения и игры для Android: 22 декабря,2016-12-22T13:12:59+00:00,Strelka92,33
В Steam стартует большая зимняя распродажа,2016-12-22T13:04:00+00:00,Oleg Prince,40
SK Hynix поспособствует выходу смартфонов с 8 ГБ оперативной памяти,2016-12-22T12:15:09+00:00,Sleepp,87
«Магус: в поисках приключений» — головоломка с приятным героем,2016-12-22T12:00:00+00:00,FB-king,9
Micromax Bolt Warrior 1 Plus получил металлический корпус и поддержку LTE,2016-12-22T11:54:39+00:00,Ekzer,32
Умер один из создателей The Last of Us и Uncharted,2016-12-22T11:08:00+00:00,Oleg Prince,15
Толщина моноблоков Acer Aspire C22 и C24 составляет всего 8 мм,2016-12-22T11:05:57+00:00,Ekzer,62
ZTE привезёт на CES 2017 смартфон с двойной камерой и загадочное устройство Project CSX,2016-12-22T10:54:03+00:00,Scar1989,35
Мобильные игры в 2016 году оказались прибыльнее компьютерных и консольных,2016-12-22T10:50:17+00:00,Oleg Prince,22
Яндекс.Браузер для macOS стал ещё безопаснее,2016-12-22T10:39:26+00:00,Ekzer,64
Хакеры выпустили бета-версию джейлбрейка для iOS 10.1.1,2016-12-22T10:28:23+00:00,Ekzer,49
Пиксельный зомби-шутер MiniDAYZ вышел на iOS,2016-12-22T10:20:40+00:00,Oleg Prince,26
LG анонсирует Stylo 3 и обновлённую линейку смартфонов K,2016-12-22T10:14:00+00:00,Wadym72,74
"Игроки Pokemon GO прошли более 8,7 миллиарда километров",2016-12-22T10:00:00+00:00,Wadym72,29
Xiaomi представит в эту пятницу ноутбуки Mi Notebook Pro,2016-12-22T09:20:00+00:00,Wadym72,119
Официальное приложение AliExpress вышло на Windows 10,2016-12-22T09:00:00+00:00,Wadym72,57
Раннер Super Mario Run за 4 дня скачало 40 миллионов человек,2016-12-22T08:00:00+00:00,Oleg Prince,81
Только 16% Windows-смартфонов работают на Windows 10 Mobile,2016-12-22T07:00:00+00:00,Wadym72,159
Культовый шутер Wolfenstein 3D запустили на Game Boy Color,2016-12-22T06:00:00+00:00,Sleepp,44
Microsoft патентует жесты для встроенного в экран сканера отпечатков,2016-12-22T05:00:00+00:00,Wadym72,24
"Инсайды #811: Apple Ferrari, ASUS Zenfone 3 Zoom, Samsung Galaxy C7 Pro и белый Xiaomi Mi Mix",2016-12-21T20:08:00+00:00,Ekzer,73
Учимся стримить со смартфона ASUS Zenfone 3,2016-12-21T19:30:00+00:00,News,49
Фоторедактор Prisma превращается в социальную сеть,2016-12-21T19:00:00+00:00,Wadym72,58
"Владельцы Moto G4, Moto G4 Plus и OnePlus X уже могут опробовать Android 7.1",2016-12-21T18:00:00+00:00,Wadym72,37
В Viber появилась возможность отправки быстрых видеосообщений,2016-12-21T17:00:00+00:00,Wadym72,89
Геймерские ноутбуки MSI по сниженным ценам к Новому году,2016-12-21T16:51:43+00:00,Wadym72,47
Для Xiaomi Redmi Note 3 Pro вышло глобальное обновление до Android Marshmallow,2016-12-21T16:00:00+00:00,Wadym72,169
Итоги конкурса “Слышать больше с FiiO”,2016-12-21T15:30:00+00:00,News,129
"Xiaomi Mi S могут оснастить 4,6-дюймовым экраном",2016-12-21T15:25:00+00:00,Scar1989,301
Dell XPS 15 вышел с обновлённой аппаратной &quot;начинкой&quot;,2016-12-21T15:20:00+00:00,Wadym72,60
Пользователи Nexus 6P испытывают проблемы с внезапным отключением смартфона,2016-12-21T15:00:00+00:00,Scar1989,65
Сколько стоит портативный Hi-Fi и где брать потоковую музыку в высоком качестве?,2016-12-21T14:02:00+00:00,News,0
Скидки на игры для iOS: 21 декабря,2016-12-21T13:45:00+00:00,Strelka92,6
Highscreen Razar оснастили кнопкой для быстрого запуска камеры,2016-12-21T13:41:16+00:00,Wadym72,94
Скидки на приложения и игры для Android: 21 декабря,2016-12-21T13:36:00+00:00,Strelka92,18
Разработчики Civilization VI выпустили бесплатный апдейт и сразу два крупных дополнения,2016-12-21T13:23:58+00:00,Oleg Prince,15
Meizu M5 Note стал доступен для заказа со скидкой,2016-12-21T12:42:09+00:00,Wadym72,88
"Инсайды #810: Nokia Z2 Plus, HTC X10, Oukitel C5 Pro, Elephone Max",2016-12-21T12:33:23+00:00,Ekzer,67
VR-шлем Storm Mirror Matrix обладает рекордным значением плотности пикселей,2016-12-21T12:15:21+00:00,Wadym72,52
Alien Bugs Defender — игра для любителей научной фантастики,2016-12-21T12:00:00+00:00,FB-king,15
Google признаёт проблему со звуком в Pixel и Pixel XL,2016-12-21T11:18:31+00:00,Scar1989,101
"DODGEMAN STICKMAN — быстрее, чем ты думаешь",2016-12-21T11:00:00+00:00,FB-king,4
Uncharted 4 стала лучшей игрой 2016 года по версии Metacritic,2016-12-21T10:40:29+00:00,Oleg Prince,174
На гарнитуры HyperX установлена единая цена по всей России ,2016-12-21T10:26:00+00:00,Wadym72,57
ТВ-приставка LeEco U4 TV Box поддерживает работу в 4K,2016-12-21T10:14:46+00:00,Scar1989,42
Нашумевший Super Mario Run не будет обрастать новым контентом,2016-12-21T10:09:19+00:00,Oleg Prince,42
Apple AirPods пережили испытание стиральной машинкой,2016-12-21T10:00:00+00:00,Ekzer,79
Устройства Xiaomi со скидкой перед Новым годом,2016-12-21T09:00:00+00:00,Wadym72,58
Crytek закрывает практически все свои студии,2016-12-21T08:59:00+00:00,Oleg Prince,108
Одно из самых популярных приложений для iMessage вышло на iOS,2016-12-21T08:50:00+00:00,Wadym72,35
Подробный тест экрана Elephone S7: изгиб или иллюзия?,2016-12-21T08:00:00+00:00,News,23
Apple получает патент на новую акустическую систему,2016-12-21T07:50:00+00:00,Ekzer,57
Телевизоры Samsung получат поддержку HDR-контента через приложение YouTube,2016-12-21T07:00:00+00:00,Scar1989,47
Игра по мотивам &quot;Отряда самоубийц&quot; может быть отменена ,2016-12-21T06:00:00+00:00,gotDvamp,76
Технология POINTER значительно повышает точность определения местоположения,2016-12-21T05:00:00+00:00,Scar1989,26
"Инсайды #809: Honor Prague, NVIDIA Shield Android TV (2017), LG X Calibur и ноутбук от Coolpad",2016-12-20T19:30:00+00:00,Ekzer,44
Обзор ZTE Blade V7 Max: стальной максимум,2016-12-20T19:15:00+00:00,News,49
Apple разрабатывает &quot;вязаные&quot; дисплеи,2016-12-20T19:00:00+00:00,Wadym72,21
Для Clash of Clans вышло крупное рождественское обновление,2016-12-20T18:00:00+00:00,Oleg Prince,52
Ulefone Armor оснастили функцией SOS ,2016-12-20T17:05:00+00:00,Wadym72,23
В iOS-версию VSCO добавили поддержку RAW-фотографий,2016-12-20T17:00:00+00:00,Wadym72,12
Опрос: важна ли для вас физическая защищённость смартфона?,2016-12-20T16:23:02+00:00,am.axe,91
Apple AirPods признаны абсолютно неремонтопригодными,2016-12-20T16:13:00+00:00,Котейко,201
LeEco Smart Home Theatre TV наделит телевизоры смарт-функциями,2016-12-20T15:56:53+00:00,Natalia Rafalskaya,46
Скидки на приложения и игры для iOS: 20 декабря,2016-12-20T15:44:09+00:00,Strelka92,5
В Facebook Messenger появятся групповые видеозвонки,2016-12-20T15:40:00+00:00,Wadym72,10
Скидки на игры для Android: 20 декабря,2016-12-20T15:23:44+00:00,Strelka92,5
"Qualcomm, Ericsson и SK Telecom объединяются для ускорения внедрения 5G",2016-12-20T15:20:10+00:00,Wadym72,29
Обзор Cubot Cheetah 2: гепард во фраке,2016-12-20T15:00:00+00:00,News,27
Что купить для Xiaomi Redmi 3,2016-12-20T14:55:00+00:00,Ekzer,21
Третий сезон The Walking Dead от Telltale стартует сегодня,2016-12-20T14:18:42+00:00,Oleg Prince,38
MIUI 8 на Android 7.0 переходит к закрытому бета-тестированию,2016-12-20T13:50:00+00:00,Wadym72,139
LG делится подробностями о функциях webOS 3.5,2016-12-20T13:00:13+00:00,Natalia Rafalskaya,118
Строительный симулятор Minecraft добрался до Apple TV,2016-12-20T12:22:00+00:00,Wadym72,15
Глава Facebook рассказал о трудностях создания &quot;умного&quot; дома,2016-12-20T12:20:00+00:00,Wadym72,62
Легендарная серия Mega Man выйдет на iOS и Android,2016-12-20T12:01:31+00:00,Oleg Prince,55
Matissa: креативные фото одним взмахом руки,2016-12-20T12:00:00+00:00,FB-king,11
Minecraft Pocket Edition вышла из стадии беты,2016-12-20T11:26:17+00:00,Sleepp,43
LG ProBeam стал самым лёгким лазерным проектором в своём классе,2016-12-20T11:21:00+00:00,Wadym72,23
Nintendo Switch будет вдвое мощнее при нахождении в док-станции,2016-12-20T11:09:31+00:00,Wadym72,90
Apple не собирается отказываться от выпуска настольных компьютеров,2016-12-20T10:40:00+00:00,Scar1989,65
BioWare начинает раздавать игрокам подарки,2016-12-20T10:39:30+00:00,Oleg Prince,112
